,Price,Price $ Change,Price % Change,Comp. Rating,EPS Rating,RS Rating,Ind Grp RS,SMR Rating,Acc/Dis Rating,Spon Rating,Vol. % Change,Vol. (1000s),Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap,Company,Sector,Industry,Country
PSEC,7.79,0.12,1.56,77.0,56.0,76.0,10.0,4.0,9.0,2.0,-44.0,1782,,0.22,0.0269,0.0858,0.3693,-0.029900000000000003,1.1197,59.68,7.79,0.011699999999999999,0.0039000000000000003,Prospect Capital Corporation,Financial,Asset Management,USA
CVGI,9.69,0.04,0.41,61.0,34.0,96.0,8.0,2.0,8.0,2.0,1.0,278,3.63,0.64,-0.0325,0.024399999999999998,0.4794,-0.1387,6.814500000000001,47.62,9.69,0.0040999999999999995,0.0,"Commercial Vehicle Group, Inc.",Consumer Cyclical,Auto Parts,USA
BXC,40.36,1.17,2.99,90.0,74.0,98.0,5.0,5.0,8.0,4.0,-9.0,121,1.8,2.64,0.0535,0.0168,0.5752,-0.1354,10.2278,54.31,40.42,0.0161,0.0151,BlueLinx Holdings Inc.,Industrials,Building Products & Equipment,USA
SMMF,26.8,0.25,0.94,97.0,87.0,71.0,13.0,5.0,11.0,3.0,-20.0,15,0.49,1.26,0.0313,0.12390000000000001,0.38439999999999996,-0.0219,0.9881,59.36,26.8,0.0175,-0.0079,"Summit Financial Group, Inc.",Financial,Banks - Regional,USA
EFSC,49.58,0.14,0.28,94.0,78.0,79.0,10.0,5.0,13.0,3.0,-38.0,89,1.41,1.76,0.0169,0.1464,0.4384,-0.04650000000000001,1.2848,60.43,49.58,0.011000000000000001,-0.008100000000000001,Enterprise Financial Services Corp,Financial,Banks - Regional,USA
AX,47.56,0.55,1.17,93.0,94.0,88.0,11.0,5.0,3.0,3.0,-26.0,257,1.77,1.9,-0.0356,0.033,0.4686,-0.1264,2.2461,48.81,47.49,0.006999999999999999,0.0032,"Axos Financial, Inc.",Financial,Banks - Regional,USA
CTRN,84.13,0.35,0.42,98.0,74.0,98.0,12.0,4.0,10.0,3.0,-64.0,81,1.73,6.18,-0.0069,0.1283,1.1073,-0.1493,11.556700000000001,53.25,84.13,0.0034999999999999996,0.0007000000000000001,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA
HTGC,16.43,0.4,2.5,82.0,58.0,73.0,10.0,5.0,9.0,1.0,-18.0,579,,0.39,0.029900000000000003,0.0487,0.27399999999999997,-0.0108,1.6161,59.47,16.43,0.014199999999999999,0.0106,"Hercules Capital, Inc.",Financial,Mortgage Finance,USA
BLDR,47.37,1.0,2.16,99.0,96.0,90.0,8.0,5.0,10.0,3.0,35.0,2771,2.45,2.11,0.046900000000000004,0.0992,0.3861,-0.0078000000000000005,3.4794,58.93,47.37,0.013000000000000001,0.0084,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA
EGLE,35.57,-0.55,-1.52,82.0,33.0,92.0,13.0,1.0,13.0,3.0,-18.0,96,1.47,2.55,-0.0335,0.1966,0.7318000000000001,-0.1304,3.0011,53.71,35.57,-0.0106,-0.004699999999999999,Eagle Bulk Shipping Inc.,Industrials,Marine Shipping,USA
WAL,94.45,0.01,0.01,98.0,93.0,93.0,13.0,5.0,9.0,3.0,14.0,963,1.69,4.03,-0.0167,0.0947,0.7372,-0.0868,2.5279,52.95,94.37,-0.0011,0.0003,Western Alliance Bancorporation,Financial,Banks - Regional,USA
ATCO,14.04,0.4,2.89,82.0,35.0,79.0,10.0,4.0,10.0,2.0,58.0,1226,1.15,0.55,-0.009399999999999999,0.0654,0.3759,-0.0533,1.34,53.37,14.04,0.0226,0.0059,Atlas Corp.,Financial,Asset Management,Canada
TROX,19.33,1.03,5.63,68.0,34.0,94.0,9.0,4.0,2.0,3.0,-29.0,1339,2.67,1.11,0.0728,0.0748,0.5943999999999999,-0.0955,3.8665,58.63,19.32,0.0315,0.0235,Tronox Holdings plc,Basic Materials,Chemicals,USA
TX,39.08,0.24,0.62,99.0,97.0,91.0,12.0,3.0,13.0,1.0,1.0,619,1.33,1.93,0.076,0.2094,0.6324000000000001,-0.0364,2.4637000000000002,66.49,39.07,-0.0026,0.0085,Ternium S.A.,Basic Materials,Steel,Luxembourg
CROX,79.56,-0.89,-1.11,96.0,99.0,93.0,7.0,5.0,2.0,3.0,-12.0,932,1.81,4.45,0.0158,0.0288,0.42710000000000004,-0.07919999999999999,4.888999999999999,52.41,79.56,-0.019,0.008100000000000001,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA
LQDT,19.43,0.85,4.57,82.0,74.0,95.0,5.0,2.0,6.0,2.0,-38.0,249,1.11,1.29,0.0592,0.0663,0.68,-0.122,4.397200000000001,57.0,19.43,0.0341,0.0113,"Liquidity Services, Inc.",Consumer Cyclical,Internet Retail,USA
HIMX,13.77,0.12,0.88,99.0,74.0,97.0,8.0,4.0,7.0,5.0,-31.0,3070,1.94,1.3,0.10460000000000001,0.0984,1.0849,-0.2299,4.2357,55.78,13.77,-0.016399999999999998,0.0256,"Himax Technologies, Inc.",Technology,Semiconductors,Taiwan
FBMS,37.3,0.69,1.88,96.0,61.0,77.0,13.0,5.0,11.0,3.0,-29.0,37,1.12,1.5,0.0242,0.1005,0.3922,-0.028399999999999998,1.3247,59.34,37.3,0.018600000000000002,0.0003,"The First Bancshares, Inc.",Financial,Banks - Regional,USA
PGTI,25.69,0.44,1.74,94.0,92.0,85.0,8.0,4.0,6.0,3.0,-21.0,189,1.51,0.98,0.018500000000000003,0.0801,0.3123,-0.0436,2.7325999999999997,57.26,25.68,0.011399999999999999,0.0055000000000000005,"PGT Innovations, Inc.",Industrials,Building Products & Equipment,USA
EVR,135.76,4.02,3.05,97.0,89.0,88.0,12.0,5.0,10.0,3.0,-21.0,441,1.72,5.22,0.022799999999999997,0.1005,0.5371,-0.057699999999999994,2.1797999999999997,59.54,135.81,0.019799999999999998,0.0109,Evercore Inc.,Financial,Capital Markets,USA
CVLT,66.12,1.62,2.51,95.0,87.0,71.0,11.0,4.0,10.0,3.0,-37.0,243,0.71,2.28,0.0187,0.0172,0.3332,-0.0859,0.9209999999999999,54.09,66.12,0.0155,0.0095,"Commvault Systems, Inc.",Technology,Software - Application,USA
DAC,51.01,1.4,2.82,97.0,45.0,99.0,13.0,5.0,12.0,2.0,-20.0,507,1.86,4.37,0.063,0.2887,1.9513999999999998,-0.1157,14.8292,58.86,50.97,0.028900000000000002,-0.0014000000000000002,Danaos Corporation,Industrials,Marine Shipping,Greece
LMAT,48.58,-0.2,-0.41,91.0,93.0,76.0,8.0,5.0,9.0,3.0,-39.0,83,1.36,2.51,0.026000000000000002,0.0155,0.32280000000000003,-0.1161,1.2198,54.13,48.58,-0.0086,0.0045000000000000005,"LeMaitre Vascular, Inc.",Healthcare,Medical Instruments & Supplies,USA
ALLT,16.58,0.61,3.82,83.0,62.0,82.0,5.0,3.0,11.0,1.0,-45.0,162,0.55,0.71,0.0851,0.11199999999999999,0.4224,-0.0455,0.9738,62.13,16.58,0.0222,0.015700000000000002,Allot Ltd.,Technology,Communication Equipment,Israel
AVNW,77.12,6.08,8.56,99.0,98.0,98.0,12.0,4.0,9.0,4.0,-16.0,235,2.18,6.33,0.2364,0.36450000000000005,1.3594,0.0073,8.951,67.42,77.12,0.0501,0.0338,"Aviat Networks, Inc.",Technology,Communication Equipment,USA
CENTA,51.44,-0.45,-0.87,95.0,94.0,75.0,12.0,4.0,8.0,3.0,19.0,291,,1.75,0.08,0.17170000000000002,0.3525,-0.0659,1.0784,69.56,51.44,-0.0040999999999999995,-0.0046,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA
GLUU,12.47,-0.01,-0.08,85.0,73.0,74.0,4.0,4.0,8.0,3.0,-81.0,1015,1.1,0.07,0.0017000000000000001,0.07490000000000001,0.33340000000000003,-0.0371,1.2673,63.91,12.47,0.0008,-0.0016,Glu Mobile Inc.,Communication Services,Electronic Gaming & Multimedia,USA
CAI,45.56,0.04,0.09,98.0,92.0,90.0,12.0,4.0,10.0,2.0,-38.0,143,1.58,2.75,0.011200000000000002,0.11359999999999999,0.5540999999999999,-0.0928,2.5656,54.92,45.55,0.0024,-0.0018,"CAI International, Inc.",Industrials,Rental & Leasing Services,USA
GRBK,24.12,1.44,6.35,96.0,98.0,86.0,6.0,5.0,9.0,2.0,24.0,1309,1.24,1.18,0.1108,0.1412,0.3014,-0.0371,2.938,65.19,24.12,0.0487,0.0141,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,USA
ENSG,93.75,-0.09,-0.1,96.0,92.0,87.0,10.0,5.0,10.0,3.0,10.0,328,1.04,3.74,0.0525,0.0886,0.4175,-0.049800000000000004,2.2677,59.89,93.75,-0.0068000000000000005,0.0059,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities,USA
SCU,22.22,0.34,1.55,86.0,77.0,87.0,10.0,,13.0,4.0,-53.0,105,1.49,1.02,0.0313,0.0857,0.4732,-0.1578,1.4406999999999999,58.61,22.21,0.0169,-0.0018,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA
FOR,24.23,0.95,4.08,90.0,67.0,77.0,9.0,4.0,9.0,3.0,6.0,123,2.01,0.7,0.0501,0.0706,0.25429999999999997,-0.019,1.5695,63.98,24.23,0.035,0.005600000000000001,Forestar Group Inc.,Real Estate,Real Estate - Development,USA
HI,48.21,0.5,1.05,90.0,85.0,83.0,7.0,5.0,7.0,3.0,-44.0,229,1.57,1.75,-0.0241,0.0345,0.3417,-0.08710000000000001,1.9450999999999998,50.41,48.24,0.005600000000000001,0.0054,"Hillenbrand, Inc.",Industrials,Specialty Industrial Machinery,USA
ERII,19.13,0.79,4.31,94.0,87.0,90.0,8.0,4.0,9.0,3.0,-48.0,221,1.21,1.0,0.0579,0.17190000000000003,0.6881,-0.0553,1.8724,60.79,19.13,0.0352,0.0076,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,USA
PRIM,33.45,0.32,0.97,91.0,93.0,81.0,10.0,4.0,6.0,3.0,29.0,676,1.3,1.77,-0.059000000000000004,0.0002,0.39270000000000005,-0.19899999999999998,1.6235,47.42,33.45,-0.0139,0.023799999999999998,Primoris Services Corporation,Industrials,Engineering & Construction,USA
MYRG,73.67,2.0,2.79,91.0,95.0,89.0,5.0,4.0,10.0,2.0,-7.0,137,1.04,3.16,0.0771,0.1604,0.529,-0.021,2.5555000000000003,61.97,73.67,0.016,0.011699999999999999,MYR Group Inc.,Industrials,Engineering & Construction,USA
HCI,78.82,2.0,2.6,65.0,33.0,81.0,6.0,4.0,10.0,2.0,-63.0,38,0.74,3.6,0.0708,0.2127,0.45840000000000003,-0.0241,1.0898,66.5,78.85,0.0287,-0.0022,"HCI Group, Inc.",Financial,Insurance - Property & Casualty,USA
SEM,34.54,0.44,1.29,93.0,96.0,86.0,9.0,4.0,8.0,2.0,-27.0,517,1.39,1.42,0.005,0.1259,0.4583,-0.0775,1.896,57.81,34.52,0.009899999999999999,0.0023,Select Medical Holdings Corporation,Healthcare,Medical Care Facilities,USA
GNRC,324.24,-3.21,-0.98,98.0,95.0,91.0,8.0,5.0,7.0,4.0,-42.0,625,0.94,16.69,0.0337,0.0634,0.4868,-0.1104,2.9867000000000004,54.47,323.8,-0.018799999999999997,0.0078000000000000005,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,USA
HTHT,56.75,1.85,3.37,27.0,9.0,71.0,7.0,1.0,2.0,3.0,-18.0,1295,1.62,2.56,0.0078000000000000005,0.031400000000000004,0.2505,-0.1206,1.0742,53.11,56.75,0.0127,0.0208,Huazhu Group Limited,Consumer Cyclical,Lodging,China
MXL,36.52,2.44,7.16,93.0,73.0,82.0,8.0,5.0,10.0,3.0,-7.0,775,2.05,2.48,0.0564,0.032799999999999996,0.2518,-0.1703,2.5833,53.87,36.55,0.0482,0.0232,"MaxLinear, Inc.",Technology,Semiconductors,USA
CDXS,24.3,1.41,6.16,42.0,9.0,83.0,7.0,2.0,9.0,4.0,29.0,947,1.29,1.86,0.1605,0.038,0.4302,-0.1779,1.5497999999999998,58.63,24.3,0.049699999999999994,0.011399999999999999,"Codexis, Inc.",Healthcare,Biotechnology,USA
AOSL,34.5,1.8,5.5,95.0,97.0,96.0,8.0,4.0,2.0,3.0,-43.0,211,2.69,2.6,0.0294,0.018799999999999997,0.6426999999999999,-0.1977,4.75,52.73,34.5,0.029500000000000002,0.0248,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA
GNMK,23.99,0.09,0.38,84.0,53.0,94.0,9.0,3.0,9.0,3.0,-14.0,2723,3.07,0.84,0.0799,0.24280000000000002,0.544,-0.010700000000000001,5.1043,67.55,23.99,-0.0017000000000000001,0.0054,"GenMark Diagnostics, Inc.",Healthcare,Medical Devices,USA
MX,25.04,0.14,0.56,85.0,53.0,90.0,10.0,3.0,10.0,3.0,-18.0,1026,1.0,1.53,0.1045,0.2321,0.6923,-0.0622,1.6441,62.58,25.04,-0.0149,0.0209,MagnaChip Semiconductor Corporation,Technology,Semiconductors,Luxembourg
KKR,50.35,1.5,3.07,94.0,77.0,76.0,10.0,5.0,8.0,3.0,-23.0,2309,1.38,1.1,0.045700000000000005,0.1014,0.30329999999999996,0.011200000000000002,1.3840000000000001,68.81,50.35,0.0161,0.0143,KKR & Co. Inc.,Financial,Asset Management,USA
NXPI,208.08,6.74,3.35,74.0,39.0,83.0,8.0,2.0,10.0,4.0,-45.0,2490,1.47,9.05,0.0866,0.126,0.4039,-0.0072,1.8559,60.51,208.08,0.0154,0.0178,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands
AMRS,19.37,0.27,1.41,85.0,56.0,99.0,11.0,,12.0,3.0,-12.0,4234,1.2,2.29,-0.0073,0.2364,1.8291,-0.1729,9.3307,53.02,19.37,0.0152,-0.001,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA
IPHI,180.54,2.13,1.19,95.0,92.0,74.0,8.0,5.0,9.0,4.0,-17.0,775,0.95,5.62,0.1074,0.0823,0.2943,-0.0092,1.3988999999999998,64.82,180.54,0.003,0.0089,Inphi Corporation,Technology,Semiconductors,USA
LPLA,143.43,1.27,0.89,92.0,74.0,86.0,12.0,5.0,8.0,3.0,-43.0,368,1.26,4.43,0.0225,0.09849999999999999,0.4722,-0.0288,2.0151,60.34,143.43,0.009899999999999999,-0.0009,LPL Financial Holdings Inc.,Financial,Capital Markets,USA
WD,105.33,2.59,2.52,97.0,95.0,88.0,11.0,5.0,7.0,3.0,-39.0,126,1.32,4.33,0.0155,0.0661,0.44409999999999994,-0.0748,3.2883999999999998,54.73,105.28,0.0216,0.003,"Walker & Dunlop, Inc.",Financial,Mortgage Finance,USA
INFU,20.91,0.55,2.7,82.0,74.0,79.0,3.0,5.0,8.0,3.0,-41.0,69,0.92,1.08,0.0434,0.0965,0.35600000000000004,-0.10529999999999999,1.5948,57.29,20.81,0.012199999999999999,0.0098,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA
FDUS,15.7,0.15,0.97,93.0,74.0,82.0,10.0,5.0,11.0,5.0,-49.0,84,,0.43,0.024700000000000003,0.08960000000000001,0.34659999999999996,-0.009899999999999999,2.1631,62.84,15.7,0.0058,0.0039000000000000003,Fidus Investment Corporation,Financial,Asset Management,USA
HZNP,90.5,-1.54,-1.67,96.0,90.0,79.0,7.0,5.0,10.0,4.0,-15.0,1776,1.13,4.56,0.031,0.0538,0.2159,-0.0626,2.2241,54.62,90.5,-0.0174,0.0007000000000000001,Horizon Therapeutics Public Limited Company,Healthcare,Drug Manufacturers - General,Ireland
FBHS,97.05,1.23,1.28,88.0,90.0,71.0,8.0,5.0,8.0,4.0,-3.0,896,1.63,2.61,0.0775,0.09380000000000001,0.17350000000000002,0.0002,1.7591999999999999,68.47,97.15,0.0097,0.0042,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
RLGT,7.14,0.19,2.73,80.0,88.0,71.0,4.0,4.0,9.0,3.0,-20.0,189,1.51,0.27,0.027999999999999997,0.0525,0.2779,-0.052000000000000005,1.2358,57.93,7.11,0.023,0.0,"Radiant Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA
BCOV,21.29,1.17,5.82,96.0,74.0,89.0,11.0,4.0,9.0,3.0,-43.0,208,0.95,1.22,-0.0078000000000000005,0.0379,0.4888,-0.1572,2.3266,51.0,21.29,0.0406,0.0169,Brightcove Inc.,Technology,Software - Application,USA
GLOG,5.78,0.01,0.09,85.0,36.0,85.0,11.0,4.0,10.0,3.0,-74.0,595,1.41,0.05,0.001,0.1007,0.5665,-0.1108,1.5918999999999999,61.18,5.78,0.0017000000000000001,0.0,GasLog Ltd.,Energy,Oil & Gas Midstream,Greece
CUBI,32.03,0.21,0.66,99.0,82.0,94.0,11.0,5.0,13.0,3.0,-36.0,147,1.56,1.32,0.0383,0.1685,0.9247,-0.03,3.2799,62.24,32.02,0.0152,-0.0088,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA
FRG,36.83,0.72,1.99,87.0,51.0,90.0,10.0,4.0,8.0,3.0,-48.0,88,2.0,2.06,-0.0118,0.014499999999999999,0.3057,-0.1125,4.2614,51.87,36.83,0.0132,0.0066,"Franchise Group, Inc.",Consumer Cyclical,Personal Services,USA
NGVC,17.59,0.04,0.23,89.0,86.0,80.0,4.0,4.0,10.0,2.0,-49.0,62,1.27,0.7,0.049800000000000004,0.0932,0.37060000000000004,-0.062400000000000004,1.4665000000000001,60.4,17.58,-0.0028000000000000004,0.0046,"Natural Grocers by Vitamin Cottage, Inc.",Consumer Defensive,Grocery Stores,USA
SSTK,91.51,2.47,2.77,92.0,89.0,88.0,5.0,5.0,10.0,3.0,8.0,358,1.11,4.08,0.0417,0.1124,0.455,-0.0533,2.1384,58.67,91.36,0.021099999999999997,0.0048,"Shutterstock, Inc.",Communication Services,Internet Content & Information,USA
PRTA,24.74,-0.38,-1.51,58.0,12.0,91.0,7.0,1.0,13.0,3.0,-35.0,369,1.57,2.09,0.0385,0.2332,0.7761,-0.1368,1.6746,54.28,24.74,-0.0032,-0.011899999999999999,Prothena Corporation plc,Healthcare,Biotechnology,Ireland
BCC,61.27,1.44,2.41,98.0,98.0,81.0,10.0,5.0,7.0,3.0,-50.0,196,2.02,2.66,0.0582,0.1444,0.355,-0.011000000000000001,2.0335,61.85,61.26,0.0141,0.0097,Boise Cascade Company,Basic Materials,Lumber & Wood Production,USA
SBSW,18.43,0.57,3.19,87.0,79.0,89.0,1.0,5.0,7.0,3.0,-45.0,1691,1.94,0.87,0.0048,0.0337,0.33840000000000003,-0.0966,3.2368,52.12,18.43,0.0279,0.0039000000000000003,Sibanye Stillwater Limited,Basic Materials,Gold,South Africa
APAM,52.49,0.32,0.61,98.0,84.0,76.0,10.0,5.0,8.0,3.0,-49.0,350,1.89,1.8,0.034300000000000004,0.0368,0.20980000000000001,-0.043899999999999995,1.8695,55.57,52.52,-0.0053,0.0121,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA
TMHC,31.68,0.87,2.82,90.0,85.0,86.0,6.0,4.0,9.0,3.0,-28.0,859,1.79,1.49,0.0765,0.0999,0.24960000000000002,-0.005699999999999999,3.0343999999999998,59.74,31.67,0.0131,0.0146,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,USA
GWPH,217.26,0.36,0.17,69.0,25.0,90.0,7.0,3.0,10.0,4.0,-77.0,282,1.69,1.23,0.006999999999999999,0.0802,0.5874,-0.0045000000000000005,1.6923,70.71,217.26,-0.0007000000000000001,0.0024,GW Pharmaceuticals plc,Healthcare,Drug Manufacturers - General,United Kingdom
PFSI,65.56,-1.31,-1.96,90.0,99.0,81.0,3.0,5.0,5.0,2.0,-43.0,566,1.22,2.98,0.021099999999999997,0.0447,0.1702,-0.07490000000000001,3.5072,54.72,65.67,-0.0091,-0.009000000000000001,"PennyMac Financial Services, Inc.",Financial,Mortgage Finance,USA
ECOM,24.5,0.95,4.03,68.0,36.0,87.0,2.0,4.0,11.0,3.0,-36.0,208,0.89,1.42,0.068,0.0587,0.3689,-0.1551,2.5435,57.6,24.45,0.0213,0.0166,ChannelAdvisor Corporation,Technology,Software - Application,USA
APPS,82.27,1.91,2.38,98.0,74.0,99.0,2.0,5.0,7.0,4.0,-38.0,2698,2.51,9.35,0.0504,0.0646,0.917,-0.1978,21.1752,52.96,82.27,-0.025,0.05,"Digital Turbine, Inc.",Technology,Software - Application,USA
FPRX,37.81,0.14,0.37,77.0,43.0,99.0,7.0,2.0,11.0,3.0,-38.0,1494,4.56,1.04,0.0007000000000000001,0.4093,1.7896,-0.027999999999999997,18.3897,74.51,37.81,0.0005,0.0032,"Five Prime Therapeutics, Inc.",Healthcare,Biotechnology,USA
VLRS,14.67,0.41,2.88,58.0,14.0,93.0,12.0,1.0,10.0,1.0,-64.0,201,2.85,0.74,-0.019799999999999998,0.0546,0.5152,-0.1246,3.9966000000000004,51.92,14.69,0.025099999999999997,0.0049,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",Industrials,Airlines,Mexico
AR,10.85,0.65,6.37,93.0,33.0,99.0,13.0,1.0,12.0,3.0,-14.0,8172,4.92,0.71,0.0973,0.2249,1.1401999999999999,0.016399999999999998,15.454500000000001,61.04,10.86,0.0462,0.0176,Antero Resources Corporation,Energy,Oil & Gas E&P,USA
CNHI,15.73,0.09,0.57,87.0,58.0,87.0,9.0,3.0,9.0,,-48.0,1408,1.77,0.41,0.0194,0.0703,0.5077,-0.0187,1.9886000000000001,57.92,15.72,0.0038,0.0013,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,United Kingdom
TCS,16.4,-0.24,-1.44,97.0,93.0,98.0,11.0,3.0,6.0,3.0,-42.0,813,1.32,1.16,-0.019299999999999998,0.048799999999999996,0.7839,-0.1497,7.7807,50.69,16.42,-0.023799999999999998,0.0108,"The Container Store Group, Inc.",Consumer Cyclical,Specialty Retail,USA
WIX,293.3,14.1,5.05,36.0,9.0,74.0,2.0,3.0,6.0,5.0,-18.0,626,1.39,17.63,0.0067,0.0028000000000000004,0.0748,-0.18989999999999999,2.2877,50.57,293.3,0.0144,0.0356,Wix.com Ltd.,Technology,Software - Infrastructure,Israel
LGIH,153.0,3.69,2.47,98.0,98.0,90.0,6.0,5.0,9.0,3.0,-35.0,201,1.5,6.48,0.0942,0.2322,0.3502,-0.0066,3.6364,69.55,153.0,0.0235,0.0011,"LGI Homes, Inc.",Consumer Cyclical,Residential Construction,USA
TWTR,63.88,0.25,0.39,86.0,61.0,82.0,9.0,3.0,12.0,4.0,-36.0,14238,0.86,3.41,-0.027200000000000002,0.0025,0.3308,-0.2095,1.8547,46.63,63.83,-0.0131,0.0165,"Twitter, Inc.",Communication Services,Internet Content & Information,USA
SC,27.22,0.16,0.59,91.0,90.0,73.0,11.0,5.0,9.0,3.0,-42.0,661,1.02,0.84,0.019,0.0676,0.289,-0.0347,1.365,59.64,27.21,0.0089,-0.0033,Santander Consumer USA Holdings Inc.,Financial,Credit Services,USA
CARA,21.75,0.04,0.18,84.0,64.0,73.0,7.0,4.0,11.0,3.0,13.0,578,1.28,0.97,0.1197,0.1161,0.3148,-0.037599999999999995,0.8216,68.39,21.75,-0.0096,0.0115,"Cara Therapeutics, Inc.",Healthcare,Biotechnology,USA
ESI,18.81,0.52,2.84,87.0,75.0,77.0,9.0,4.0,7.0,3.0,-28.0,1377,1.63,0.73,-0.026099999999999998,0.0262,0.3312,-0.1051,1.4848,49.81,18.81,0.0184,0.0098,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA
IBP,116.29,5.41,4.88,90.0,97.0,82.0,5.0,5.0,3.0,3.0,-26.0,167,1.76,5.82,0.045700000000000005,0.016399999999999998,0.1805,-0.1059,2.719,54.86,116.33,0.036000000000000004,0.0127,"Installed Building Products, Inc.",Industrials,Building Products & Equipment,USA
GCI,5.33,-0.05,-0.93,78.0,38.0,97.0,10.0,2.0,10.0,3.0,-47.0,1067,2.93,0.43,-0.0358,0.029300000000000003,0.9490000000000001,-0.158,7.4603,49.42,5.33,-0.0202,0.011200000000000002,"Gannett Co., Inc.",Communication Services,Publishing,USA
QUOT,15.86,-0.48,-2.94,61.0,16.0,90.0,5.0,2.0,13.0,3.0,34.0,1311,0.88,0.84,0.041100000000000005,0.2314,0.6801,-0.0564,2.0076,60.97,15.88,-0.0075,-0.0208,Quotient Technology Inc.,Communication Services,Advertising Agencies,USA
TPVG,14.77,0.32,2.21,86.0,65.0,76.0,10.0,4.0,11.0,,-35.0,132,1.9,0.37,0.016200000000000003,0.0332,0.2026,-0.0341,2.2571,58.89,14.74,0.0124,0.0076,TriplePoint Venture Growth BDC Corp.,Financial,Asset Management,USA
AMRK,35.38,-0.62,-1.72,98.0,77.0,85.0,10.0,5.0,10.0,2.0,-49.0,80,-0.45,2.05,0.0028000000000000004,0.1023,0.2814,-0.1175,2.3684,53.23,35.38,-0.0126,-0.004699999999999999,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA
MC,56.16,1.28,2.33,93.0,68.0,78.0,12.0,5.0,9.0,3.0,12.0,530,1.28,1.88,0.011000000000000001,0.0393,0.3979,-0.0584,1.2551999999999999,55.51,56.15,0.015600000000000001,0.0075,Moelis & Company,Financial,Capital Markets,USA
SPWH,17.47,0.23,1.33,90.0,92.0,71.0,8.0,5.0,6.0,2.0,-3.0,816,1.14,0.25,0.0155,0.0072,0.11699999999999999,-0.0536,2.1996,57.97,17.47,0.012199999999999999,0.0012,"Sportsman's Warehouse Holdings, Inc.",Consumer Cyclical,Leisure,USA
MARA,48.85,0.83,1.73,91.0,45.0,99.0,10.0,3.0,13.0,4.0,-21.0,20484,4.56,5.55,0.26899999999999996,0.47350000000000003,3.1883999999999997,-0.0271,127.5526,63.63,48.85,-0.0006,0.0179,"Marathon Patent Group, Inc.",Financial,Capital Markets,USA
NAVI,14.34,0.03,0.21,91.0,92.0,85.0,10.0,4.0,8.0,3.0,-24.0,1704,1.8,0.48,0.0726,0.1381,0.4581,-0.0134,1.4223,65.82,14.34,-0.0055000000000000005,0.0077,Navient Corporation,Financial,Credit Services,USA
CCS,62.99,2.67,4.43,99.0,98.0,93.0,6.0,5.0,11.0,2.0,79.0,940,1.93,3.28,0.0438,0.1094,0.4299,-0.0308,4.817200000000001,57.87,63.0,0.033,0.0111,"Century Communities, Inc.",Consumer Cyclical,Residential Construction,USA
RYAM,9.46,0.39,4.3,81.0,65.0,98.0,9.0,2.0,9.0,2.0,-34.0,417,3.83,0.77,-0.0281,0.061900000000000004,0.7206,-0.1628,9.5099,51.21,9.46,0.0294,0.0132,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals,USA
WMS,107.89,4.5,4.35,89.0,75.0,90.0,8.0,3.0,9.0,3.0,13.0,596,1.39,4.45,0.053399999999999996,0.08529999999999999,0.4892,-0.0519,3.1951,61.44,107.94,0.0362,0.0075,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,USA
LNTH,21.0,-0.37,-1.73,67.0,35.0,78.0,8.0,3.0,11.0,3.0,-4.0,578,1.2,0.78,0.0601,0.1153,0.4113,-0.045,1.0563,63.28,21.0,-0.016399999999999998,-0.0009,"Lantheus Holdings, Inc.",Healthcare,Diagnostics & Research,USA
AFMD,7.78,-0.13,-1.64,77.0,43.0,92.0,7.0,2.0,12.0,4.0,-47.0,993,2.59,0.55,0.0684,0.19870000000000002,0.5792,-0.0953,4.1867,57.48,7.78,-0.0371,0.0215,Affimed N.V.,Healthcare,Biotechnology,Germany
